Date,Open,High,Low,Close,Volume,Adj Close
2015-08-05,5.63,5.72,5.63,5.70,13298200,5.572483
2015-08-04,5.60,5.70,5.60,5.68,10808900,5.552931
2015-08-03,5.65,5.69,5.61,5.66,7071600,5.533378
2015-07-31,5.66,5.69,5.60,5.68,12965800,5.552931
2015-07-30,5.61,5.63,5.53,5.59,19206600,5.464945
2015-07-29,5.56,5.66,5.52,5.60,22395600,5.474721
2015-07-28,5.56,5.59,5.41,5.56,49027900,5.435616
2015-07-27,5.61,5.64,5.51,5.56,26916800,5.435616
2015-07-24,5.76,5.77,5.62,5.65,30081500,5.523602
2015-07-23,5.86,5.91,5.79,5.81,11902500,5.680023
2015-07-22,6.10,6.13,5.97,6.01,11878200,5.875549
2015-07-21,6.15,6.18,6.11,6.14,11323600,6.00264
2015-07-20,6.11,6.15,6.05,6.14,13907100,6.00264
2015-07-17,6.22,6.23,6.10,6.16,14297800,6.022193
2015-07-16,6.28,6.30,6.17,6.21,14511700,6.071074
2015-07-15,6.19,6.25,6.17,6.25,14244800,6.110179
2015-07-14,6.22,6.28,6.19,6.21,12403900,6.071074
2015-07-13,6.18,6.24,6.17,6.23,10929000,6.090627
2015-07-10,6.02,6.18,6.01,6.16,15690600,6.022193
2015-07-09,5.97,6.05,5.94,5.94,5952600,5.807115
2015-07-08,5.93,5.97,5.88,5.89,12730000,5.758233
2015-07-07,6.03,6.06,5.93,6.01,13366400,5.875549
2015-07-06,6.04,6.11,6.03,6.09,8238500,5.953759
2015-07-02,6.14,6.14,6.09,6.14,18017500,6.00264
2015-07-01,6.12,6.15,6.05,6.08,9925600,5.943982
2015-06-30,6.14,6.18,6.07,6.10,20153300,5.963535
2015-06-29,6.03,6.09,6.01,6.08,7091100,5.943982
2015-06-26,6.06,6.15,6.04,6.12,7979300,5.983088
2015-06-25,6.10,6.10,5.99,6.05,7039500,5.914654
2015-06-24,6.15,6.20,6.09,6.10,5148900,5.963535
2015-06-23,6.16,6.17,6.11,6.15,5608400,6.012417
2015-06-22,6.19,6.21,6.13,6.15,9614600,6.012417
2015-06-19,6.07,6.09,6.03,6.07,10285900,5.934206
2015-06-18,6.09,6.19,6.07,6.14,10649900,6.00264
2015-06-17,6.00,6.11,5.96,6.10,11190400,5.963535
2015-06-16,5.97,6.09,5.94,6.04,10721300,5.904877
2015-06-15,5.93,5.94,5.88,5.91,9220200,5.777786
2015-06-12,6.02,6.02,5.96,5.96,9106100,5.826667
2015-06-11,6.00,6.03,5.94,6.01,10892000,5.875549
2015-06-10,6.08,6.12,5.98,6.03,9890900,5.895101
2015-06-09,5.95,5.98,5.92,5.95,16111100,5.816891
2015-06-08,6.03,6.03,5.95,5.96,9801800,5.826667
2015-06-05,5.82,5.92,5.75,5.92,13626700,5.787562
2015-06-04,5.85,5.87,5.78,5.82,7404300,5.689799
2015-06-03,5.93,5.93,5.81,5.85,19824500,5.719128
2015-06-02,5.85,5.92,5.83,5.89,10956000,5.758233
2015-06-01,5.84,5.88,5.79,5.83,10477200,5.667314
2015-05-29,5.82,5.85,5.73,5.75,19062100,5.589546
2015-05-28,5.76,5.85,5.73,5.83,11547000,5.667314
2015-05-27,5.80,5.88,5.73,5.85,24141500,5.686755
2015-05-26,6.02,6.03,5.86,5.86,11644500,5.696477
2015-05-22,6.17,6.18,6.03,6.06,22625000,5.890895
2015-05-21,6.20,6.22,6.15,6.16,38887600,5.988105
2015-05-20,6.28,6.29,6.21,6.22,13095200,6.04643
2015-05-19,6.35,6.38,6.30,6.30,10760100,6.124198
2015-05-18,6.50,6.50,6.36,6.38,10718100,6.201966
2015-05-15,6.48,6.59,6.43,6.54,12210200,6.357501
2015-05-14,6.45,6.54,6.44,6.47,12704000,6.289454
2015-05-13,6.46,6.48,6.34,6.39,11250800,6.211687
2015-05-12,6.48,6.53,6.43,6.44,17017000,6.260292
2015-05-11,6.61,6.63,6.47,6.50,5620500,6.318617
2015-05-08,6.53,6.68,6.50,6.67,20097900,6.483873
2015-05-07,6.47,6.51,6.40,6.48,12167700,6.299175
2015-05-06,6.62,6.63,6.41,6.45,16995600,6.270012
2015-05-05,6.25,6.41,6.24,6.39,13199000,6.211687
2015-05-04,6.28,6.33,6.24,6.27,6525900,6.095035
2015-05-01,6.34,6.35,6.24,6.31,4608300,6.133919
2015-04-30,6.31,6.33,6.24,6.33,14659400,6.153361
2015-04-29,6.39,6.45,6.35,6.37,7261000,6.192245
2015-04-28,6.50,6.51,6.41,6.43,9313800,6.25057
2015-04-27,6.44,6.50,6.39,6.42,10750100,6.24085
2015-04-24,6.36,6.44,6.33,6.40,22892400,6.221408
2015-04-23,6.25,6.36,6.23,6.33,25217200,6.153361
2015-04-22,6.24,6.31,6.23,6.28,13352200,6.104757
2015-04-21,6.20,6.26,6.17,6.23,9691900,6.056152
2015-04-20,6.26,6.30,6.19,6.20,11665900,6.026989
2015-04-17,6.27,6.29,6.21,6.25,10722700,6.075593
2015-04-16,6.28,6.34,6.26,6.32,16395200,6.14364
2015-04-15,6.29,6.31,6.21,6.28,19548200,6.104757
2015-04-14,6.28,6.31,6.23,6.25,9979200,6.075593
2015-04-13,6.33,6.37,6.24,6.26,7003600,6.085315
2015-04-10,6.29,6.37,6.27,6.35,7689800,6.172803
2015-04-09,6.38,6.45,6.29,6.32,16162400,6.14364
2015-04-08,6.39,6.40,6.28,6.36,22395600,6.182524
2015-04-07,6.19,6.29,6.16,6.23,14887300,6.056152
2015-04-06,6.14,6.27,6.14,6.19,14949500,6.017268
2015-04-02,6.03,6.10,5.94,6.04,22538300,5.871453
2015-04-01,5.93,6.02,5.82,5.92,23946500,5.754802
2015-03-31,5.78,5.82,5.72,5.76,11536300,5.599267
2015-03-30,5.68,5.80,5.66,5.77,9661500,5.608988
2015-03-27,5.65,5.71,5.60,5.66,8252100,5.502057
2015-03-26,5.77,5.78,5.64,5.67,16587700,5.511778
2015-03-25,6.00,6.01,5.76,5.78,11605700,5.618709
2015-03-24,6.04,6.04,5.90,5.94,9369300,5.774244
2015-03-23,5.83,6.01,5.82,5.98,18070300,5.813128
2015-03-20,5.75,5.88,5.72,5.82,11324400,5.657593
2015-03-19,5.69,5.72,5.59,5.62,10303300,5.463174
2015-03-18,5.63,5.83,5.58,5.75,12440500,5.589546
2015-03-17,5.55,5.67,5.54,5.64,10776200,5.482615
2015-03-16,5.68,5.71,5.58,5.58,8035200,5.42429
2015-03-13,5.56,5.63,5.51,5.57,9554600,5.414569
2015-03-12,5.84,5.88,5.66,5.72,12591300,5.560383
2015-03-11,5.66,5.82,5.66,5.81,10795700,5.647872
2015-03-10,5.83,5.88,5.73,5.73,13560600,5.570104
2015-03-09,5.88,5.92,5.83,5.85,11591800,5.686755
2015-03-06,6.00,6.05,5.94,5.98,9664500,5.813128
2015-03-05,6.15,6.21,6.06,6.14,15325700,5.968663
2015-03-04,6.15,6.22,6.02,6.16,16160000,5.988105
2015-03-03,6.24,6.40,6.24,6.31,11393200,6.133919
2015-03-02,6.36,6.38,6.26,6.30,8879400,6.124198
2015-02-27,6.42,6.61,6.42,6.45,16463300,6.239877
2015-02-26,6.33,6.40,6.29,6.37,12570900,6.162483
2015-02-25,6.41,6.43,6.32,6.37,9875500,6.162483
2015-02-24,6.44,6.59,6.37,6.52,10594800,6.307597
2015-02-23,6.43,6.45,6.35,6.44,16489500,6.230203
2015-02-20,6.32,6.38,6.27,6.36,7588900,6.152809
2015-02-19,6.40,6.43,6.34,6.37,4326300,6.162483
2015-02-18,6.44,6.47,6.37,6.43,5003300,6.220529
2015-02-17,6.38,6.44,6.30,6.41,5858800,6.20118
2015-02-13,6.38,6.45,6.31,6.37,5841300,6.162483
2015-02-12,6.38,6.45,6.34,6.44,11027900,6.230203
2015-02-11,6.25,6.32,6.17,6.29,10914500,6.08509
2015-02-10,6.38,6.42,6.32,6.41,10367700,6.20118
2015-02-09,6.39,6.58,6.39,6.53,12648100,6.317271
2015-02-06,6.32,6.47,6.31,6.43,14011500,6.220529
2015-02-05,6.33,6.53,6.28,6.53,13994700,6.317271
2015-02-04,6.33,6.45,6.31,6.37,15325100,6.162483
2015-02-03,6.53,6.58,6.48,6.51,13440400,6.297923
2015-02-02,6.48,6.53,6.38,6.50,10524000,6.288248
